#
%Time%Gated%Ungated
@ ns@ @ 
15050 18 6
15060 24 4
15070 24 10
15080 18 11
15090 18 13
15100 18 4
15110 16 6
15120 23 12
15130 21 4
15140 26 7
15150 25 5
15160 22 5
15170 15 7
15180 23 5
15190 21 7
15200 16 5
15210 23 8
15220 23 7
15230 25 9
15240 28 8
15250 22 11
15260 15 7
15270 29 5
15280 19 6
15290 25 8
15300 27 8
15310 22 7
15320 23 10
15330 25 9
15340 20 6
15350 24 6
15360 22 13
15370 30 5
15380 27 7
15390 24 4
15400 16 4
15410 22 8
15420 28 8
15430 25 7
15440 31 10
15450 29 7
15460 18 6
15470 23 9
15480 26 3
15490 25 7
15500 19 3
15510 28 11
15520 20 7
15530 28 11
15540 23 4
15550 30 4
15560 23 8
15570 35 10
15580 19 5
15590 26 9
15600 23 10
15610 18 5
15620 22 9
15630 14 5
15640 21 9
15650 13 10
15660 23 11
15670 16 7
15680 19 10
15690 17 2
15700 25 2
15710 24 7
15720 23 6
15730 21 11
15740 16 6
15750 16 12
15760 12 9
15770 20 11
15780 15 5
15790 18 7
15800 16 9
15810 25 4
15820 19 11
15830 15 3
15840 16 4
15850 30 7
15860 26 6
15870 11 6
15880 21 6
15890 18 5
15900 13 0
15910 23 7
15920 17 6
15930 23 6
15940 26 5
15950 27 4
15960 16 10
15970 19 5
15980 20 3
15990 17 6
16000 23 5
16010 12 4
16020 18 4
16030 20 3
16040 16 12
16050 14 8
16060 19 3
16070 22 4
16080 18 7
16090 22 5
16100 18 4
16110 12 4
16120 18 3
16130 16 5
16140 18 3
16150 20 4
16160 23 4
16170 17 12
16180 11 4
16190 20 5
16200 20 3
16210 18 5
16220 18 2
16230 20 7
16240 14 3
16250 15 7
16260 11 7
16270 14 8
16280 17 3
16290 11 1
16300 15 4
16310 17 5
16320 13 10
16330 19 5
16340 17 2
16350 12 7
16360 15 5
16370 23 8
16380 18 6
16390 12 2
16400 18 6
16410 25 4
16420 13 7
16430 17 5
16440 16 7
16450 19 8
16460 14 6
16470 16 6
16480 20 7
16490 13 5
16500 8 7
16510 12 4
16520 17 4
16530 17 2
16540 13 7
16550 11 6
16560 16 5
16570 16 5
16580 20 4
16590 19 2
16600 9 4
16610 14 8
16620 21 2
16630 17 6
16640 18 3
16650 10 4
16660 15 4
16670 13 7
16680 14 12
16690 15 4
16700 15 1
16710 17 7
16720 15 5
16730 10 3
16740 16 3
16750 11 4
16760 17 3
16770 19 4
16780 17 2
16790 15 10
16800 12 5
16810 18 8
16820 17 5
16830 18 5
16840 16 5
16850 11 4
16860 13 8
16870 12 5
16880 14 4
16890 15 4
16900 14 3
16910 11 4
16920 11 7
16930 16 5
16940 19 5
16950 12 0
16960 19 5
16970 19 4
16980 9 3
16990 12 6
17000 11 4
17010 10 2
17020 18 6
17030 11 5
17040 16 6
17050 16 3
17060 16 5
17070 17 3
17080 8 3
17090 16 1
17100 10 3
17110 18 7
17120 12 2
17130 20 4
17140 12 3
17150 15 5
17160 10 4
17170 14 5
17180 13 8
17190 13 6
17200 15 4
17210 13 5
17220 18 4
17230 12 8
17240 11 5
17250 14 2
17260 12 1
17270 9 2
17280 14 3
17290 11 5
17300 7 4
17310 11 3
17320 14 3
17330 12 3
17340 13 0
17350 9 3
17360 13 4
17370 15 1
17380 8 5
17390 14 4
17400 11 1
17410 9 5
17420 14 1
17430 9 3
17440 13 7
17450 12 3
17460 17 5
17470 8 2
17480 6 4
17490 13 6
17500 7 2
17510 13 2
17520 10 2
17530 13 5
17540 20 3
17550 10 3
17560 10 4
17570 10 3
17580 12 2
17590 6 2
17600 13 9
17610 17 8
17620 17 5
17630 13 3
17640 12 1
17650 15 2
17660 12 4
17670 10 0
17680 12 4
17690 12 2
17700 15 3
17710 15 2
17720 15 1
17730 11 3
17740 8 4
17750 13 6
17760 9 5
17770 11 3
17780 16 2
17790 9 3
17800 13 2
17810 10 4
17820 10 2
17830 9 2
17840 14 3
17850 8 1
17860 11 6
17870 6 7
17880 15 7
17890 6 5
17900 10 2
17910 7 2
17920 12 3
17930 9 3
17940 14 2
17950 12 1
17960 11 7
17970 13 3
17980 8 3
17990 10 4
18000 14 2
18010 15 3
18020 11 3
18030 9 4
18040 5 3
18050 12 4
18060 15 3
18070 11 4
18080 11 5
18090 11 3
18100 10 4
18110 15 3
18120 14 3
18130 7 5
18140 9 2
18150 14 4
18160 12 4
18170 8 3
18180 7 1
18190 9 1
18200 11 4
18210 12 2
18220 5 3
18230 5 5
18240 12 2
18250 12 4
18260 8 5
18270 7 2
18280 10 4
18290 8 1
18300 6 1
18310 13 4
18320 10 5
18330 4 2
18340 11 2
18350 9 6
18360 13 3
18370 11 1
18380 8 4
18390 14 3
18400 10 2
18410 6 2
18420 3 2
18430 14 3
18440 11 0
18450 10 3
18460 9 0
18470 13 3
18480 8 3
18490 9 5
18500 7 4
18510 9 1
18520 8 2
18530 13 5
18540 8 3
18550 5 1
18560 9 4
18570 10 5
18580 16 1
18590 8 2
18600 8 0
18610 5 2
18620 9 2
18630 5 1
18640 7 1
18650 14 2
18660 5 3
18670 14 1
18680 9 3
18690 3 3
18700 10 6
18710 6 2
18720 8 3
18730 6 4
18740 10 2
18750 13 4
18760 13 3
18770 11 2
18780 4 1
18790 9 3
18800 10 5
18810 12 1
18820 8 3
18830 8 2
18840 8 3
18850 8 4
18860 7 3
18870 7 3
18880 7 2
18890 6 3
18900 6 2
18910 8 1
18920 5 1
18930 5 3
18940 8 3
18950 7 4
18960 12 6
18970 8 2
18980 4 3
18990 8 3
19000 13 7
19010 4 2
19020 3 4
19030 7 3
19040 15 4
19050 10 7
19060 5 1
19070 6 0
19080 11 2
19090 6 3
